Site Longitude   Latitude   Height      Nvel     Evel     Uvel   Nerr   Eerr   Uerr
azwa 247.33775235 33.85931464  540.681    -7.95    -13.8    -0.15   0.15   0.17   0.41 
azyc 245.85300798 34.87927756  541.012    -8.46   -14.29    -0.66   0.08   0.11   0.24 
azyu 245.47289217 32.65834966   36.899    -7.29   -14.09    -0.96   0.07   0.08   0.23 
back 257.52181431 -74.43044138   33.185     9.53    16.65     15.4   0.11   0.13   0.49 
badg 102.23498581 51.76970496  811.416     -6.5    26.56     0.67   0.08   0.06   0.33 
bahr 50.60814315 26.20913901  -17.075    30.15    31.08    -0.52   0.11   0.13   0.21 
baie 291.73667258 49.18682627   27.476     6.15   -16.04     3.52   0.09   0.09    0.2 
bakc 29.89336138 0.35041514 4441.762     19.7     27.4     4.13   0.42   0.41   0.98 
bake 263.99765595 64.31782009    4.414     -4.3   -18.83    11.18   0.07   0.08   0.24 
bako 106.84890739 -6.49105355  158.153     -7.3    24.45    -0.65   0.09   0.07    0.2 
bald 241.09860962 37.78342726 2749.506     0.04   -19.53     3.53   0.37   0.07   0.34 
bamf 234.86489533 48.83532933   10.785    -5.92    -3.92     1.96   0.09   0.09   0.17 
bamo 242.79543468 40.41275069 1792.458    -9.53   -16.41     0.63   0.05   0.05   0.15 
ban2 77.51161585 13.0343179  831.874    35.39    42.87    -0.65   0.13   0.16   0.44 
bar1 240.97026647 33.48045049   14.804    22.89   -41.27    -1.26   0.04   0.06   0.11 
bara 288.90177216 18.2086988    6.730     8.89     8.77     0.54   0.17   0.09   0.29 
barb 300.39092212 13.0879141  -38.609    15.64    12.95    -1.29   1.09   1.81   2.18 
barh 291.77831086 44.39504759    6.751     7.08   -15.28     0.45   0.04   0.04   0.11 
barn 288.84044304 44.09908818  139.629     4.96   -15.69     0.39   0.11   0.12   0.44 
basq 242.13696887 42.41160458 1348.599     -9.6   -16.21     0.21   0.17    0.2   0.71 
batm 243.48844738 36.40345689  736.973    -8.35   -15.37    -0.26   0.16   0.18   0.45 
bay1 197.29284242 55.19027347   50.474   -22.47    -9.05    -0.18   0.18   0.19   0.48 
bay2 197.29323719 55.19042008   50.490   -22.31    -9.06    -0.11   0.26    0.2    0.6 
bayr 276.10826922 43.44623011  148.878     1.15   -16.01    -1.49   0.05   0.05   0.21 
bbdm 240.01849005 34.5821969  204.873    20.08   -41.73     0.26   0.07   0.15   0.14 
bbid 248.47387431 44.18504516 1789.941   -10.38   -16.36    -2.04   0.07   0.07   0.25 
bbry 243.1157604 34.26427804 2051.044     4.65   -23.84     0.47   0.04   0.04   0.13 
bcln 2.00416725 41.40541981   84.794    16.36    19.84    -0.39   0.07   0.09   0.29 
